,attr_2,attr_3,subject_line_length,last_open_day,last_login_day,last_checkout_day,open_count_last_10_days,open_count_last_30_days,open_count_last_60_days,login_count_last_10_days,login_count_last_30_days,login_count_last_60_days,checkout_count_last_10_days,checkout_count_last_30_days,checkout_count_last_60_days,weekday,domain_@163.com,domain_@gmail.com,domain_@hotmail.com,domain_@icloud.com,domain_@live.com,domain_@outlook.com,domain_@qq.com,domain_@rocketmail.com,domain_@yahoo.com,domain_@ymail.com,domain_other,country_code_1,country_code_2,country_code_3,country_code_4,country_code_5,country_code_6,country_code_7
attr_2,1.0,-0.030162885050654262,0.03870493858485145,-0.10013327727365874,0.0019737393105724605,0.0044016056019488044,0.032117271161929604,0.0356266741946444,0.035876856785868896,0.01093545532171969,0.008884436651288139,0.007689227291713895,0.008674191477907153,0.007401752103098206,0.006676421809179316,0.03597444100052648,-0.002492695725542456,0.038176883903436556,-0.07665990051172455,0.004597734848746823,0.0028926785736974056,0.003288301607961873,0.0011832457353034688,0.0014557336072079981,0.008343140327454644,0.002673321437598077,-0.0016442391155678602,0.030918449508336034,0.023025381939168567,0.012742487069973097,-0.10894191803259876,0.015062907579205571,0.009980851143553134,0.0061019621304063175
attr_3,-0.030162885050654262,1.0,-0.0003425880659867904,-0.04540975753650823,-0.08656754440026737,-0.34200180114625833,-0.00038327096573805876,0.00016623830481738762,0.0073385593107708974,0.2192766426269613,0.23068985082777185,0.24158835804486062,0.10415243183550832,0.11376460590054747,0.12491815373229943,-0.006848906819181642,-0.023130292506628986,0.023941173525580027,0.007311601197695916,0.01007833194213974,-0.00644437576854937,-0.01657854901629864,-0.06408884573953977,0.007782827577621971,-0.008297595344731047,0.0038223575928349415,-0.018792921695559475,0.04309606015045559,-0.007254062850450851,-0.024028667029607004,0.018495602889801486,0.029258891595016216,-0.07356631857141557,-0.03174507593854672
subject_line_length,0.03870493858485145,-0.0003425880659867904,1.0,0.04951351498204938,-0.004990070424584221,0.045930677118360304,-0.017322011736617713,-0.030571630856455936,-0.037059835182066146,-0.007535001795355373,-0.011088004445884946,-0.013980106417170355,0.010169574550155323,0.013071751462912923,0.013781025436594116,-0.05049172999390574,-0.002228814374334274,0.054962854760048474,-0.05807228138804759,-0.013696400444313325,-0.01192275716763487,-0.003218489187438733,-0.01030724373018613,0.011829061727060523,-0.011016340898633408,0.006116560711077097,-0.017368723261108877,0.2816195948217302,-0.04987877628600604,0.004066092054737425,-0.09698081426922306,-0.3931029811739878,-0.04199172269878875,0.21087334111413644
last_open_day,-0.10013327727365874,-0.04540975753650823,0.04951351498204938,1.0,0.015445346675571982,0.13270938247080483,-0.24407549371328693,-0.2690552928467605,-0.2698484652096869,-0.0643593395932431,-0.07581793410297315,-0.09822102364157154,-0.0299979262742458,-0.03120397380124573,-0.043881466314720854,-0.038101699012899386,-0.010088903744445963,0.022375658692415566,-0.02396636167871372,-0.0028188371461282885,-0.012124021041791139,-0.001123903268923418,-0.013079236596987813,-0.007152233988715962,0.012096164346496767,-0.00733223757439489,-0.021965766087538224,0.01497935007423124,-0.07932334940244441,0.1288215792619709,-0.043051129786020645,-0.016921196610541034,-0.04459072950728652,0.025270171872781435
last_login_day,0.0019737393105724605,-0.08656754440026737,-0.004990070424584221,0.015445346675571982,1.0,0.14778475075578368,-0.019058075052541854,-0.018850043916632343,-0.018620776885319153,-0.09126477016679582,-0.09610604757918494,-0.0967061371883607,-0.045471770891748337,-0.05032309041008863,-0.053132970090287036,0.0019331286263434455,-0.0033427928831616634,0.0010448397527024686,0.0004134381323885186,0.004101205069554964,0.0013773407071061847,-0.00041223319496661655,-0.008778410376663905,0.006446938505954724,-0.0015183779832228207,-0.0020899701940122295,0.0013982044358639117,-0.03204916706894385,-0.0036790212533009156,0.025283317693575932,-0.00035266191495804205,0.013981046754284509,0.001127497616946636,0.013570278834141612
last_checkout_day,0.0044016056019488044,-0.34200180114625833,0.045930677118360304,0.13270938247080483,0.14778475075578368,1.0,-0.04478853341742288,-0.04868515473020731,-0.061455035868394334,-0.28912034750365645,-0.30841333127058523,-0.32165771180337766,-0.18294820712406168,-0.20403539699303014,-0.21619487293291664,0.009384073771170667,0.07492587703129357,-0.002594837309827365,-0.049545754066031275,0.0010284870882867256,-0.0033164974044504734,0.03308439997159092,0.13571415105464651,0.005638479261870734,-0.031953694363244155,-0.010606551030625482,0.03859360119453908,0.016856133728254744,0.01776865283196858,0.07817676532684897,-0.07849311202911559,-0.12018082628278894,0.024067668743345913,0.05134346747040337
open_count_last_10_days,0.032117271161929604,-0.00038327096573805876,-0.017322011736617713,-0.24407549371328693,-0.019058075052541854,-0.04478853341742288,1.0,0.9003652818640363,0.8254759095996803,0.05711124894178207,0.05642692197142711,0.05532382188388081,0.033344681153215816,0.02708655283884119,0.023949862040335994,0.05683908156726027,0.008887910579048936,-0.0779757110852549,0.04824101850118991,0.043971091552975086,0.01845905306926378,0.04164339512374666,0.01669248478613798,0.008829912581251558,0.0037547609208333486,-0.00037923497485698604,0.05614589734461533,-0.13890180607029629,0.09519843093701212,0.09382155708076076,-0.011727905223748213,-0.05108964789601849,0.07589421349106223,-0.04300369644808373
open_count_last_30_days,0.0356266741946444,0.00016623830481738762,-0.030571630856455936,-0.2690552928467605,-0.018850043916632343,-0.04868515473020731,0.9003652818640363,1.0,0.9479303146434914,0.04772785818842196,0.05438283708020594,0.058273592337252725,0.029606553109301187,0.02787649442359927,0.02767267073499357,0.05160497693139353,0.022311361654633426,-0.08310125671529076,0.05251485923723703,0.04290167029453785,0.020989659904439496,0.040122488906625856,0.02262365166202355,0.010456817559705891,0.003196598037995173,-0.004698485970568303,0.05850946446008607,-0.1595655069247395,0.138907024330707,0.09073709489589087,-0.016975282743471907,-0.07368914514031256,0.07955274875370673,-0.04097341499160826
open_count_last_60_days,0.035876856785868896,0.0073385593107708974,-0.037059835182066146,-0.2698484652096869,-0.018620776885319153,-0.061455035868394334,0.8254759095996803,0.9479303146434914,1.0,0.05140673452239935,0.05710195840284177,0.06851027564511332,0.03313382488282049,0.030240322072008916,0.03377440015305662,0.045125015944860576,0.02927255309387821,-0.07827869425158533,0.04835069737423596,0.04075394208970921,0.019837187383629058,0.032973512432470244,0.01881287245348241,0.009162506323674734,0.0038049107372568067,-0.005336049758414915,0.05665253359483095,-0.1609553521444379,0.17528224799295375,0.06666793886809655,-0.03008526702642596,-0.08088278670767152,0.09153342882686978,-0.0469077931531029
login_count_last_10_days,0.01093545532171969,0.2192766426269613,-0.007535001795355373,-0.0643593395932431,-0.09126477016679582,-0.28912034750365645,0.05711124894178207,0.04772785818842196,0.05140673452239935,1.0,0.9403101571671526,0.8935548081873551,0.39587891140225584,0.3844642659800941,0.378079452351597,0.011113661420907996,0.01844285279393446,-0.03732405901867606,0.02306323294280817,-0.016895662899921723,-0.008299343730551767,0.010773261636749722,0.0305346853426754,0.0006855284931202816,0.031102324349095285,0.009237270866796586,-0.00949035127964825,0.11578973522842677,-0.03941825740083115,-0.10308223608457022,0.038769937176845154,0.03433924664492172,-0.047913628989512395,-0.05412703070032619
