,attr_1,attr_2,attr_3,age,subject_line_length,last_open_day,last_login_day,last_checkout_day,open_count_last_10_days,open_count_last_30_days,open_count_last_60_days,login_count_last_10_days,login_count_last_30_days,login_count_last_60_days,checkout_count_last_10_days,checkout_count_last_30_days,checkout_count_last_60_days,weekday,domain_@163.com,domain_@gmail.com,domain_@hotmail.com,domain_@icloud.com,domain_@live.com,domain_@outlook.com,domain_@qq.com,domain_@rocketmail.com,domain_@yahoo.com,domain_@ymail.com,domain_other,country_code_1,country_code_2,country_code_3,country_code_4,country_code_5,country_code_6,country_code_7
attr_1,1.0,-0.02280502202223285,0.8190492831337833,0.07654677452840734,0.011361374304250884,-0.06626849314787242,-0.01681019942213339,-0.4133525108447558,0.02303925294040966,0.022197966747337074,0.029036377505080976,0.24232989916222217,0.25550656415001516,0.26680580133058296,0.12982774350104723,0.1469020476022776,0.15819695221390617,-0.0009016826998401855,-0.03839229111846006,0.031170985813734835,0.007812338111382142,0.015860997539019917,0.0029327139849235737,-0.014419580307896569,-0.08475930728150285,0.008251021894624634,-0.009242057046017275,0.005306983280725187,-0.029745356458409318,0.07430016226618413,0.002053950343418035,-0.04064944949172309,0.01577599963374995,0.015603267631264656,-0.09008622956552283,-0.05008498666108825
attr_2,-0.02280502202223285,1.0,-0.0315405748103305,-0.01973647870705464,-0.02766991801266246,-0.24982333935013712,-0.7883559364921325,0.024745643556199477,0.0517789486213685,0.056945730905384274,0.05592270090170809,-0.0033086391727753404,-0.003998964054289724,-0.005591972726445686,0.0037112202378951284,0.005384008700418498,0.004692940316815076,0.038507640235868675,-0.004410421990595637,0.027906160825591636,-0.030427305933827416,0.002905203760407453,0.005037457570175726,0.005548664915435828,0.00504860335817869,0.002474357404456781,-0.005042985638821082,0.004690161009767724,-0.026091444258899525,0.055238311848618084,0.041465149400866645,0.031144213386710903,-0.20474156511661026,0.026421887958640863,0.01909103643377649,0.013745770225790863
attr_3,0.8190492831337833,-0.0315405748103305,1.0,0.04489491860922588,0.005170651916183714,-0.044866972999140504,-0.004462833596832981,-0.3396635809444199,0.00023726267598119454,-0.0002084938268600629,0.006539479982933851,0.22195211457617284,0.23418990363369174,0.2449506660904063,0.1024124588068525,0.11446246777769675,0.12372913769577867,-0.0053578401407468204,-0.021481180235766676,0.024387918337517366,0.006252460504536688,0.006430226878883982,-0.001917301531557443,-0.01216476693642145,-0.06350555239457265,0.010469398317794757,-0.009744518544117238,0.004741095034752032,-0.018271941460037917,0.04330966612975869,-0.00832194365203931,-0.024379136044187243,0.024546569285144107,0.024799122672092458,-0.07516594937515507,-0.0316570113992652
age,0.07654677452840734,-0.01973647870705464,0.04489491860922588,1.0,-0.04659239838418688,-0.051847346257611775,-0.0011872766109185244,-0.03502420961803809,0.05998091163727549,0.07314783915717193,0.07518196136264811,0.057179796341003036,0.06308692773934381,0.06502640460526463,0.04107705528704771,0.04398743168884677,0.04601641106314658,-0.010540779307426546,0.005673011437250114,-0.13089407408560733,0.11867518252904008,-0.004472716472776407,0.022529424295856068,0.02255444745181728,0.0006677326957730894,0.006816052151399657,0.06316267532607503,0.0005701191593733262,0.025797826327883917,-0.09511943545890125,0.027080702384096947,-0.10413290637994183,0.17825546771778963,0.03387010799590386,0.013868727426481374,0.0024645417024767627
subject_line_length,0.011361374304250884,-0.02766991801266246,0.005170651916183714,-0.04659239838418688,1.0,0.06073976374072121,0.05860651075380821,0.037856347850050646,-0.016528224510050555,-0.03055491147824816,-0.035777579947487544,-0.004756697361306956,-0.0075254200068936745,-0.010219093637653387,0.011174974712621244,0.014112536338558515,0.014560237303982752,-0.050868818781850574,-0.0008116971550370576,0.05317406951435197,-0.059509531374383126,-0.012912583982488218,-0.011648502278544165,-0.004237884891693865,-0.010592618884950541,0.010425992216247446,-0.009346765404078045,0.0051843758710257305,-0.013805530602216053,0.27535500754096764,-0.050229034666961415,0.000713665966940629,-0.08056403251186108,-0.39477884103120214,-0.044161270220610026,0.21091548093756665
last_open_day,-0.06626849314787242,-0.24982333935013712,-0.044866972999140504,-0.051847346257611775,0.06073976374072121,1.0,0.2371575153757091,0.12713991458627463,-0.24686164992445633,-0.27194792611824475,-0.27226010337089845,-0.06354472761330825,-0.07418327392522468,-0.09539395575811832,-0.028673369763156716,-0.03033698013889756,-0.04102177782733809,-0.0412127773112744,-0.008418577726539587,0.016360875880895288,-0.0238823667358482,-0.001808094535052618,-0.013902377145482293,-0.0028925788996881385,-0.011657187003689382,-0.007202907176764505,0.0139462983356141,-0.00857436712213174,-0.00970413551552647,0.00301366281048449,-0.08430148996950294,0.11773992063240758,0.000760887998874021,-0.021629733529424208,-0.04582876936939732,0.019951780629423644
last_login_day,-0.01681019942213339,-0.7883559364921325,-0.004462833596832981,-0.0011872766109185244,0.05860651075380821,0.2371575153757091,1.0,0.009307513107930755,-0.04504161955228078,-0.04897491436849199,-0.04738270257071876,-0.011730575843704622,-0.013911966048761493,-0.012808220992709226,-0.009113040796425895,-0.013585019979611273,-0.013606286672972808,-0.020918929567199356,-0.0036528157627502256,-0.0059620537855713685,-0.01628697518141603,0.0010025175991942945,-0.0037662033479447005,-0.004526033133594931,-0.007376833988449664,-0.001083741915102188,0.010330204981720008,-0.004255321568191168,0.03102729505884827,-0.05262560816245211,-0.0343859759300435,-0.02115180917026794,0.1683800337095398,-0.01632939217463354,-0.015907671131867543,-0.009874304323441779
last_checkout_day,-0.4133525108447558,0.024745643556199477,-0.3396635809444199,-0.03502420961803809,0.037856347850050646,0.12713991458627463,0.009307513107930755,1.0,-0.043686909393124855,-0.047068780467311624,-0.05984956595179027,-0.2888838211147418,-0.30928891621056237,-0.3224616585834163,-0.18266940949758176,-0.20645811087271174,-0.21650708526355547,0.006893356451651801,0.07593156310135014,-0.004325429876420018,-0.04789500513493251,0.005195532183246181,-0.0034257048979667707,0.034188698353505534,0.1375340028136587,0.0032131817288940366,-0.0348771588470704,-0.011717790380102606,0.040590020889265464,0.015233809527919903,0.01951990222718911,0.0795407094290787,-0.07951970625124118,-0.11798893927675584,0.024554928133477923,0.048533997958516734
open_count_last_10_days,0.02303925294040966,0.0517789486213685,0.00023726267598119454,0.05998091163727549,-0.016528224510050555,-0.24686164992445633,-0.04504161955228078,-0.043686909393124855,1.0,0.9003294505331892,0.825927205082993,0.057494953385167184,0.05664384907537133,0.0550587921059572,0.032985307738068834,0.02736398158547195,0.02434520745741127,0.05706896071160224,0.008899045559927323,-0.08092742281799828,0.04714985050849707,0.043244427092345564,0.0203211794772439,0.03920298525145125,0.01843862433691081,0.009119067582189283,0.008656549862161059,-0.001997449407759908,0.05673849566106655,-0.13701379485550175,0.09456439899068335,0.09567184718345412,-0.01815869152436292,-0.050212617723535934,0.07813029806030224,-0.041640513296551815
open_count_last_30_days,0.022197966747337074,0.056945730905384274,-0.0002084938268600629,0.07314783915717193,-0.03055491147824816,-0.27194792611824475,-0.04897491436849199,-0.047068780467311624,0.9003294505331892,1.0,0.9482337200553878,0.04686201932250283,0.053168978019291956,0.05690781301135601,0.028727743641440394,0.027901630182517047,0.02792256856177443,0.051999711323028004,0.02076090472363929,-0.08546882710077033,0.052002419658456485,0.04123944341904133,0.02326411482099579,0.03876666271414617,0.024797275631090576,0.011806316396435826,0.007608158151880879,-0.005890623237741474,0.05742344106770831,-0.1574517401472427,0.13911620841853856,0.0909289963970485,-0.023221659409708727,-0.07249456971656282,0.08184996575685424,-0.03927593293877131
open_count_last_60_days,0.029036377505080976,0.05592270090170809,0.006539479982933851,0.07518196136264811,-0.035777579947487544,-0.27226010337089845,-0.04738270257071876,-0.05984956595179027,0.825927205082993,0.9482337200553878,1.0,0.050193307734091,0.05588452952600313,0.06744479928354265,0.03208024696985454,0.030011812604012197,0.033871135839206756,0.04508168972361105,0.02834993111126275,-0.08048335077792385,0.0484425799419585,0.03960344972230933,0.020830051101221606,0.03167511135018209,0.018924083461780396,0.010223490998115318,0.00827629779358137,-0.005045816952718812,0.054639417367511184,-0.15848224801282723,0.17517960214658493,0.06636491532422466,-0.03534775301563213,-0.07999531303586561,0.09338161252321026,-0.04505226790467403
login_count_last_10_days,0.24232989916222217,-0.0033086391727753404,0.22195211457617284,0.057179796341003036,-0.004756697361306956,-0.06354472761330825,-0.011730575843704622,-0.2888838211147418,0.057494953385167184,0.04686201932250283,0.050193307734091,1.0,0.9391863464798651,0.8921833782671176,0.39617822077962733,0.3897986292564863,0.37925680316589094,0.01212490939598527,0.014659487579325932,-0.035562554630151434,0.02000940634484284,-0.018415426785423968,-0.005613173981727904,0.008605499441248258,0.03211400949795859,0.003617242410860413,0.030169419839356074,0.011767035243392654,-0.0076797654768789745,0.11387311304264887,-0.04196144187754725,-0.10313774015936224,0.042330192786904794,0.03307337725165194,-0.04577848911586117,-0.05216782022391575
