,attr_1,attr_3,age,subject_line_length,last_open_day,last_login_day,last_checkout_day,open_count_last_10_days,open_count_last_30_days,open_count_last_60_days,login_count_last_10_days,login_count_last_30_days,login_count_last_60_days,checkout_count_last_10_days,checkout_count_last_30_days,checkout_count_last_60_days,weekday
attr_1,1.0,0.8190492831337833,0.07654677452840734,0.011361374304250884,-0.06626849314787242,-0.1823504315642628,-0.4133525108447558,0.02303925294040966,0.022197966747337074,0.029036377505080976,0.24232989916222217,0.25550656415001516,0.26680580133058296,0.12982774350104723,0.1469020476022776,0.15819695221390617,-0.0009016826998401855
attr_3,0.8190492831337833,1.0,0.04489491860922588,0.005170651916183714,-0.044866972999140504,-0.14881819482177344,-0.3396635809444199,0.00023726267598119454,-0.0002084938268600629,0.006539479982933851,0.22195211457617284,0.23418990363369174,0.2449506660904063,0.1024124588068525,0.11446246777769675,0.12372913769577867,-0.0053578401407468204
age,0.07654677452840734,0.04489491860922588,1.0,-0.04659239838418688,-0.051847346257611775,-0.015144600211808619,-0.03502420961803809,0.05998091163727549,0.07314783915717193,0.07518196136264811,0.057179796341003036,0.06308692773934381,0.06502640460526463,0.04107705528704771,0.04398743168884677,0.04601641106314658,-0.010540779307426546
subject_line_length,0.011361374304250884,0.005170651916183714,-0.04659239838418688,1.0,0.06073976374072121,0.054660728875470486,0.037856347850050646,-0.016528224510050555,-0.03055491147824816,-0.035777579947487544,-0.004756697361306956,-0.0075254200068936745,-0.010219093637653387,0.011174974712621244,0.014112536338558515,0.014560237303982752,-0.050868818781850574
last_open_day,-0.06626849314787242,-0.044866972999140504,-0.051847346257611775,0.06073976374072121,1.0,0.16549173749258145,0.12713991458627463,-0.24686164992445633,-0.27194792611824475,-0.27226010337089845,-0.06354472761330825,-0.07418327392522468,-0.09539395575811832,-0.028673369763156716,-0.03033698013889756,-0.04102177782733809,-0.0412127773112744
last_login_day,-0.1823504315642628,-0.14881819482177344,-0.015144600211808619,0.054660728875470486,0.16549173749258145,1.0,0.2701738980153359,-0.050628609129897695,-0.04808280023304408,-0.04567320091598141,-0.17935875051006647,-0.19006235979877956,-0.1900404116190875,-0.09178256819661124,-0.10507070593039473,-0.10903170692413591,-0.018419746639106307
last_checkout_day,-0.4133525108447558,-0.3396635809444199,-0.03502420961803809,0.037856347850050646,0.12713991458627463,0.2701738980153359,1.0,-0.043686909393124855,-0.047068780467311624,-0.05984956595179027,-0.2888838211147418,-0.30928891621056237,-0.3224616585834163,-0.18266940949758176,-0.20645811087271174,-0.21650708526355547,0.006893356451651801
open_count_last_10_days,0.02303925294040966,0.00023726267598119454,0.05998091163727549,-0.016528224510050555,-0.24686164992445633,-0.050628609129897695,-0.043686909393124855,1.0,0.9003294505331892,0.825927205082993,0.057494953385167184,0.05664384907537133,0.0550587921059572,0.032985307738068834,0.02736398158547195,0.02434520745741127,0.05706896071160224
open_count_last_30_days,0.022197966747337074,-0.0002084938268600629,0.07314783915717193,-0.03055491147824816,-0.27194792611824475,-0.04808280023304408,-0.047068780467311624,0.9003294505331892,1.0,0.9482337200553878,0.04686201932250283,0.053168978019291956,0.05690781301135601,0.028727743641440394,0.027901630182517047,0.02792256856177443,0.051999711323028004
open_count_last_60_days,0.029036377505080976,0.006539479982933851,0.07518196136264811,-0.035777579947487544,-0.27226010337089845,-0.04567320091598141,-0.05984956595179027,0.825927205082993,0.9482337200553878,1.0,0.050193307734091,0.05588452952600313,0.06744479928354265,0.03208024696985454,0.030011812604012197,0.033871135839206756,0.04508168972361105
login_count_last_10_days,0.24232989916222217,0.22195211457617284,0.057179796341003036,-0.004756697361306956,-0.06354472761330825,-0.17935875051006647,-0.2888838211147418,0.057494953385167184,0.04686201932250283,0.050193307734091,1.0,0.9391863464798651,0.8921833782671176,0.39617822077962733,0.3897986292564863,0.37925680316589094,0.01212490939598527
login_count_last_30_days,0.25550656415001516,0.23418990363369174,0.06308692773934381,-0.0075254200068936745,-0.07418327392522468,-0.19006235979877956,-0.30928891621056237,0.05664384907537133,0.053168978019291956,0.05588452952600313,0.9391863464798651,1.0,0.9653027249061564,0.3583986027207007,0.41373944138948626,0.4134369302012803,0.008860185307282529
login_count_last_60_days,0.26680580133058296,0.2449506660904063,0.06502640460526463,-0.010219093637653387,-0.09539395575811832,-0.1900404116190875,-0.3224616585834163,0.0550587921059572,0.05690781301135601,0.06744479928354265,0.8921833782671176,0.9653027249061564,1.0,0.3414691974783707,0.39639019985823365,0.4313434402733667,0.004249396608179665
checkout_count_last_10_days,0.12982774350104723,0.1024124588068525,0.04107705528704771,0.011174974712621244,-0.028673369763156716,-0.09178256819661124,-0.18266940949758176,0.032985307738068834,0.028727743641440394,0.03208024696985454,0.39617822077962733,0.3583986027207007,0.3414691974783707,1.0,0.8630768285806057,0.7599802022061122,0.011215271450684688
checkout_count_last_30_days,0.1469020476022776,0.11446246777769675,0.04398743168884677,0.014112536338558515,-0.03033698013889756,-0.10507070593039473,-0.20645811087271174,0.02736398158547195,0.027901630182517047,0.030011812604012197,0.3897986292564863,0.41373944138948626,0.39639019985823365,0.8630768285806057,1.0,0.9268376039489626,0.01827707414152595
checkout_count_last_60_days,0.15819695221390617,0.12372913769577867,0.04601641106314658,0.014560237303982752,-0.04102177782733809,-0.10903170692413591,-0.21650708526355547,0.02434520745741127,0.02792256856177443,0.033871135839206756,0.37925680316589094,0.4134369302012803,0.4313434402733667,0.7599802022061122,0.9268376039489626,1.0,0.01573337731509418
weekday,-0.0009016826998401855,-0.0053578401407468204,-0.010540779307426546,-0.050868818781850574,-0.0412127773112744,-0.018419746639106307,0.006893356451651801,0.05706896071160224,0.051999711323028004,0.04508168972361105,0.01212490939598527,0.008860185307282529,0.004249396608179665,0.011215271450684688,0.01827707414152595,0.01573337731509418,1.0
