,attr_2,attr_3,subject_line_length,last_open_day,last_login_day,last_checkout_day,open_count_last_10_days,open_count_last_30_days,open_count_last_60_days,login_count_last_10_days,login_count_last_30_days,login_count_last_60_days,checkout_count_last_10_days,checkout_count_last_30_days,checkout_count_last_60_days,weekday,domain_@gmail.com,domain_@outlook.com,domain_@ymail.com,country_code_1,country_code_2,country_code_3,country_code_4,country_code_5,country_code_7
attr_2,1.0,-0.0315405748103305,-0.02766991801266246,-0.24982333935013712,-0.5274968555104534,0.024745643556199477,0.0517789486213685,0.056945730905384274,0.05592270090170809,-0.0033086391727753404,-0.003998964054289724,-0.005591972726445686,0.0037112202378951284,0.005384008700418498,0.004692940316815076,0.038507640235868675,0.027906160825591636,0.005548664915435828,0.004690161009767724,0.055238311848618084,0.041465149400866645,0.031144213386710903,-0.20474156511661026,0.026421887958640863,0.013745770225790863
attr_3,-0.0315405748103305,1.0,0.005170651916183714,-0.044866972999140504,-0.14881819482177344,-0.3396635809444199,0.00023726267598119454,-0.0002084938268600629,0.006539479982933851,0.22195211457617284,0.23418990363369174,0.2449506660904063,0.1024124588068525,0.11446246777769675,0.12372913769577867,-0.0053578401407468204,0.024387918337517366,-0.01216476693642145,0.004741095034752032,0.04330966612975869,-0.00832194365203931,-0.024379136044187243,0.024546569285144107,0.024799122672092458,-0.0316570113992652
subject_line_length,-0.02766991801266246,0.005170651916183714,1.0,0.06073976374072121,0.054660728875470486,0.037856347850050646,-0.016528224510050555,-0.03055491147824816,-0.035777579947487544,-0.004756697361306956,-0.0075254200068936745,-0.010219093637653387,0.011174974712621244,0.014112536338558515,0.014560237303982752,-0.050868818781850574,0.05317406951435197,-0.004237884891693865,0.0051843758710257305,0.27535500754096764,-0.050229034666961415,0.000713665966940629,-0.08056403251186108,-0.39477884103120214,0.21091548093756665
last_open_day,-0.24982333935013712,-0.044866972999140504,0.06073976374072121,1.0,0.16549173749258145,0.12713991458627463,-0.24686164992445633,-0.27194792611824475,-0.27226010337089845,-0.06354472761330825,-0.07418327392522468,-0.09539395575811832,-0.028673369763156716,-0.03033698013889756,-0.04102177782733809,-0.0412127773112744,0.016360875880895288,-0.0028925788996881385,-0.00857436712213174,0.00301366281048449,-0.08430148996950294,0.11773992063240758,0.000760887998874021,-0.021629733529424208,0.019951780629423644
last_login_day,-0.5274968555104534,-0.14881819482177344,0.054660728875470486,0.16549173749258145,1.0,0.2701738980153359,-0.050628609129897695,-0.04808280023304408,-0.04567320091598141,-0.17935875051006647,-0.19006235979877956,-0.1900404116190875,-0.09178256819661124,-0.10507070593039473,-0.10903170692413591,-0.018419746639106307,0.009148206529359123,-0.0018961695329841237,-0.005710731187313633,-0.08024902138559845,-0.012442316605354288,0.05432495460833714,0.09088844620705877,-0.04932166404369242,0.028626642047012447
last_checkout_day,0.024745643556199477,-0.3396635809444199,0.037856347850050646,0.12713991458627463,0.2701738980153359,1.0,-0.043686909393124855,-0.047068780467311624,-0.05984956595179027,-0.2888838211147418,-0.30928891621056237,-0.3224616585834163,-0.18266940949758176,-0.20645811087271174,-0.21650708526355547,0.006893356451651801,-0.004325429876420018,0.034188698353505534,-0.011717790380102606,0.015233809527919903,0.01951990222718911,0.0795407094290787,-0.07951970625124118,-0.11798893927675584,0.048533997958516734
open_count_last_10_days,0.0517789486213685,0.00023726267598119454,-0.016528224510050555,-0.24686164992445633,-0.050628609129897695,-0.043686909393124855,1.0,0.9003294505331892,0.825927205082993,0.057494953385167184,0.05664384907537133,0.0550587921059572,0.032985307738068834,0.02736398158547195,0.02434520745741127,0.05706896071160224,-0.08092742281799828,0.03920298525145125,-0.001997449407759908,-0.13701379485550175,0.09456439899068335,0.09567184718345412,-0.01815869152436292,-0.050212617723535934,-0.041640513296551815
open_count_last_30_days,0.056945730905384274,-0.0002084938268600629,-0.03055491147824816,-0.27194792611824475,-0.04808280023304408,-0.047068780467311624,0.9003294505331892,1.0,0.9482337200553878,0.04686201932250283,0.053168978019291956,0.05690781301135601,0.028727743641440394,0.027901630182517047,0.02792256856177443,0.051999711323028004,-0.08546882710077033,0.03876666271414617,-0.005890623237741474,-0.1574517401472427,0.13911620841853856,0.0909289963970485,-0.023221659409708727,-0.07249456971656282,-0.03927593293877131
open_count_last_60_days,0.05592270090170809,0.006539479982933851,-0.035777579947487544,-0.27226010337089845,-0.04567320091598141,-0.05984956595179027,0.825927205082993,0.9482337200553878,1.0,0.050193307734091,0.05588452952600313,0.06744479928354265,0.03208024696985454,0.030011812604012197,0.033871135839206756,0.04508168972361105,-0.08048335077792385,0.03167511135018209,-0.005045816952718812,-0.15848224801282723,0.17517960214658493,0.06636491532422466,-0.03534775301563213,-0.07999531303586561,-0.04505226790467403
login_count_last_10_days,-0.0033086391727753404,0.22195211457617284,-0.004756697361306956,-0.06354472761330825,-0.17935875051006647,-0.2888838211147418,0.057494953385167184,0.04686201932250283,0.050193307734091,1.0,0.9391863464798651,0.8921833782671176,0.39617822077962733,0.3897986292564863,0.37925680316589094,0.01212490939598527,-0.035562554630151434,0.008605499441248258,0.011767035243392654,0.11387311304264887,-0.04196144187754725,-0.10313774015936224,0.042330192786904794,0.03307337725165194,-0.05216782022391575
login_count_last_30_days,-0.003998964054289724,0.23418990363369174,-0.0075254200068936745,-0.07418327392522468,-0.19006235979877956,-0.30928891621056237,0.05664384907537133,0.053168978019291956,0.05588452952600313,0.9391863464798651,1.0,0.9653027249061564,0.3583986027207007,0.41373944138948626,0.4134369302012803,0.008860185307282529,-0.03480189748419719,0.010609120977609993,0.017954190206926506,0.12432859550193502,-0.0457349854349709,-0.11347852045603359,0.04921256235879439,0.03596343521797564,-0.057840866144669045
login_count_last_60_days,-0.005591972726445686,0.2449506660904063,-0.010219093637653387,-0.09539395575811832,-0.1900404116190875,-0.3224616585834163,0.0550587921059572,0.05690781301135601,0.06744479928354265,0.8921833782671176,0.9653027249061564,1.0,0.3414691974783707,0.39639019985823365,0.4313434402733667,0.004249396608179665,-0.0352971549605673,0.010823462847903323,0.019109727985483674,0.12763346578044008,-0.05055308830715292,-0.11731664085045526,0.05173295548199591,0.04190158134857569,-0.05898483453541085
checkout_count_last_10_days,0.0037112202378951284,0.1024124588068525,0.011174974712621244,-0.028673369763156716,-0.09178256819661124,-0.18266940949758176,0.032985307738068834,0.028727743641440394,0.03208024696985454,0.39617822077962733,0.3583986027207007,0.3414691974783707,1.0,0.8630768285806057,0.7599802022061122,0.011215271450684688,-0.02370591394965471,-0.007408674913077234,0.008957395872228989,0.03341439480655933,-0.022849020870258717,-0.03644887763595723,0.020362292655931345,0.01142242868642831,0.009953016840626954
checkout_count_last_30_days,0.005384008700418498,0.11446246777769675,0.014112536338558515,-0.03033698013889756,-0.10507070593039473,-0.20645811087271174,0.02736398158547195,0.027901630182517047,0.030011812604012197,0.3897986292564863,0.41373944138948626,0.39639019985823365,0.8630768285806057,1.0,0.9268376039489626,0.01827707414152595,-0.02360960085004654,-0.007228385259930202,0.009217895986675733,0.04101731473685731,-0.030214693399935072,-0.048771860183606235,0.030303068570981077,0.01506986139538649,0.013870319041976397
checkout_count_last_60_days,0.004692940316815076,0.12372913769577867,0.014560237303982752,-0.04102177782733809,-0.10903170692413591,-0.21650708526355547,0.02434520745741127,0.02792256856177443,0.033871135839206756,0.37925680316589094,0.4134369302012803,0.4313434402733667,0.7599802022061122,0.9268376039489626,1.0,0.01573337731509418,-0.028151551477438835,-0.005100909201340872,0.014642667591929096,0.05061784944328348,-0.035713494874671806,-0.05759514768315712,0.03106157433431194,0.016577467560994447,0.019261853257586222
